Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,22,Female,Bag,Footwear,484,Delhi,XL,Red,Summer,2.6,No,Express,No,Yes,5,Net Banking,Weekly
2,58,Female,Shirt,Footwear,105,Lucknow,M,White,Summer,1.5,Yes,Express,Yes,Yes,17,Net Banking,Monthly
3,52,Female,Watch,Footwear,324,Lucknow,L,Blue,Autumn,2.5,Yes,Next Day,No,No,13,Net Banking,Weekly
4,40,Male,Jeans,Footwear,404,Lucknow,XL,Blue,Spring,2.6,Yes,Next Day,Yes,No,24,Card,Quarterly
5,40,Female,Watch,Clothing,441,Mumbai,XL,Black,Winter,1.4,No,Express,No,No,15,Card,Quarterly
6,62,Female,Watch,Clothing,183,Mumbai,S,Black,Autumn,1.2,No,Standard,No,No,31,Net Banking,Weekly
7,22,Female,Shoes,Footwear,351,Lucknow,XL,Black,Winter,4.5,No,Next Day,No,Yes,16,Card,Quarterly
8,54,Female,Bag,Clothing,246,Delhi,L,Blue,Spring,4.6,Yes,Next Day,Yes,Yes,41,Net Banking,Quarterly
9,28,Male,Shirt,Accessories,62,Lucknow,S,White,Autumn,1,No,Next Day,Yes,No,15,Cash,Quarterly
10,22,Female,Shoes,Clothing,119,Bangalore,S,Blue,Autumn,3.6,No,Express,Yes,Yes,12,UPI,Weekly
11,45,Male,Bag,Accessories,376,Bangalore,L,Red,Winter,1.4,No,Express,No,No,43,Card,Weekly
12,68,Female,Watch,Footwear,346,Mumbai,M,Black,Summer,4.2,No,Express,No,No,32,Card,Weekly
13,56,Male,Shirt,Footwear,265,Lucknow,S,Red,Winter,4.5,No,Next Day,No,No,2,Net Banking,Quarterly
14,57,Female,Jeans,Accessories,392,Bangalore,L,White,Spring,3.5,No,Next Day,Yes,No,7,Card,Weekly
15,55,Female,Bag,Accessories,348,Delhi,L,Blue,Winter,3.5,Yes,Express,Yes,No,2,Cash,Monthly
16,58,Male,Jeans,Accessories,176,Bangalore,S,Blue,Autumn,2.5,No,Express,Yes,Yes,39,Card,Monthly
17,44,Male,Bag,Accessories,154,Lucknow,M,White,Winter,2,Yes,Standard,No,No,31,UPI,Quarterly
18,24,Female,Bag,Accessories,473,Delhi,M,Red,Spring,3,No,Express,No,Yes,46,Card,Weekly
19,61,Male,Watch,Footwear,486,Bangalore,XL,Blue,Summer,1.5,No,Express,Yes,No,16,Cash,Quarterly
20,41,Female,Jeans,Clothing,24,Delhi,L,Black,Autumn,3.7,Yes,Next Day,Yes,Yes,2,Card,Weekly
21,44,Female,Shirt,Accessories,397,Bangalore,S,White,Autumn,2.9,No,Standard,Yes,Yes,22,Cash,Quarterly
22,37,Female,Bag,Accessories,75,Lucknow,L,Red,Spring,1.7,Yes,Next Day,No,No,3,Net Banking,Monthly
23,27,Male,Shirt,Accessories,432,Mumbai,XL,Black,Autumn,3.4,No,Next Day,No,No,7,Cash,Weekly
24,66,Male,Bag,Clothing,298,Delhi,S,Red,Summer,4.2,No,Express,Yes,Yes,39,Cash,Monthly
25,58,Female,Jeans,Clothing,347,Delhi,XL,White,Spring,3.4,Yes,Next Day,Yes,Yes,18,Net Banking,Quarterly
26,51,Female,Jeans,Accessories,353,Bangalore,S,White,Autumn,3.1,Yes,Next Day,Yes,No,44,Net Banking,Monthly
27,38,Female,Shoes,Footwear,306,Lucknow,L,Black,Autumn,4.4,No,Standard,No,Yes,25,Cash,Weekly
28,60,Male,Shoes,Footwear,132,Mumbai,M,Blue,Spring,1,No,Express,Yes,No,32,Cash,Weekly
29,46,Female,Bag,Footwear,405,Lucknow,L,White,Winter,3.5,Yes,Next Day,No,No,41,UPI,Quarterly
30,41,Female,Shoes,Footwear,281,Mumbai,XL,White,Autumn,2.6,Yes,Next Day,Yes,No,23,Cash,Monthly
31,41,Female,Shirt,Accessories,277,Delhi,XL,Red,Summer,1.8,Yes,Standard,No,No,15,Card,Monthly
32,29,Male,Shoes,Clothing,166,Bangalore,XL,Blue,Winter,4.9,Yes,Standard,No,Yes,38,Net Banking,Weekly
33,22,Female,Bag,Accessories,14,Lucknow,XL,White,Winter,2.6,No,Next Day,Yes,No,41,Net Banking,Weekly
34,46,Female,Bag,Footwear,281,Mumbai,M,Red,Winter,2.3,No,Standard,No,Yes,14,UPI,Weekly
35,64,Male,Jeans,Accessories,179,Lucknow,M,Red,Winter,1.7,Yes,Next Day,Yes,Yes,41,Net Banking,Quarterly
36,21,Female,Bag,Footwear,333,Bangalore,L,White,Spring,5,No,Express,No,No,49,Cash,Monthly
37,62,Female,Shoes,Clothing,188,Mumbai,S,Blue,Spring,4.4,No,Next Day,No,Yes,9,Net Banking,Monthly
38,61,Male,Watch,Clothing,486,Bangalore,L,Red,Spring,1.3,No,Standard,Yes,No,42,Net Banking,Monthly
39,32,Female,Watch,Clothing,343,Mumbai,L,Black,Winter,3.3,Yes,Express,Yes,No,4,Cash,Quarterly
40,50,Female,Bag,Clothing,233,Delhi,XL,Red,Summer,1.6,Yes,Next Day,No,Yes,44,Net Banking,Quarterly
41,26,Female,Bag,Accessories,357,Lucknow,S,Red,Summer,3.9,No,Standard,No,No,44,UPI,Weekly
42,57,Male,Shoes,Accessories,327,Mumbai,S,White,Winter,2.9,Yes,Standard,No,No,42,UPI,Quarterly
43,54,Female,Jeans,Accessories,314,Bangalore,S,Blue,Spring,1.4,Yes,Express,No,No,17,Card,Quarterly
44,36,Female,Jeans,Clothing,293,Bangalore,L,White,Summer,3.2,No,Standard,Yes,No,46,Net Banking,Weekly
45,21,Male,Shirt,Accessories,466,Delhi,L,Red,Summer,4.6,Yes,Next Day,No,Yes,27,UPI,Quarterly
46,68,Female,Shoes,Clothing,165,Bangalore,L,Black,Summer,2.4,No,Next Day,Yes,No,3,Cash,Weekly
47,41,Male,Shoes,Accessories,221,Mumbai,S,Black,Autumn,1.2,No,Next Day,Yes,No,42,Card,Quarterly
48,64,Male,Jeans,Clothing,134,Bangalore,M,Black,Autumn,4.8,Yes,Express,Yes,No,45,UPI,Quarterly
49,53,Female,Shirt,Clothing,289,Mumbai,M,Blue,Summer,1.6,No,Express,Yes,No,15,Cash,Monthly
50,58,Male,Shoes,Clothing,494,Lucknow,S,Red,Spring,2.9,No,Next Day,Yes,No,12,UPI,Weekly
51,57,Male,Shoes,Clothing,308,Delhi,XL,White,Autumn,3.2,Yes,Standard,Yes,No,28,Cash,Quarterly
52,28,Male,Bag,Accessories,111,Delhi,S,White,Autumn,1.9,Yes,Standard,Yes,No,17,UPI,Monthly
53,36,Female,Shoes,Accessories,461,Mumbai,L,Red,Autumn,1.7,No,Next Day,Yes,No,31,Cash,Quarterly
54,42,Male,Bag,Accessories,397,Delhi,M,Blue,Summer,1.5,No,Standard,Yes,Yes,18,UPI,Quarterly
55,43,Female,Watch,Accessories,225,Delhi,XL,Red,Winter,1.3,No,Standard,Yes,No,10,UPI,Weekly
56,20,Female,Jeans,Clothing,81,Bangalore,L,Blue,Autumn,3,Yes,Standard,No,No,11,Card,Monthly
57,46,Female,Shirt,Clothing,207,Lucknow,M,Black,Winter,4.4,Yes,Standard,Yes,Yes,32,Cash,Weekly
58,26,Female,Shirt,Footwear,404,Bangalore,L,Red,Autumn,1.5,No,Express,Yes,No,21,Card,Weekly
59,56,Male,Shirt,Footwear,292,Mumbai,S,White,Summer,3.8,No,Express,Yes,No,0,Cash,Quarterly
60,53,Male,Jeans,Clothing,101,Lucknow,S,Black,Summer,2.7,Yes,Standard,Yes,No,25,Net Banking,Weekly
61,65,Female,Watch,Clothing,87,Mumbai,M,Black,Autumn,1.1,No,Next Day,Yes,Yes,39,UPI,Monthly
62,56,Female,Bag,Clothing,483,Delhi,XL,Black,Autumn,3.1,No,Next Day,No,Yes,7,Net Banking,Weekly
63,37,Female,Watch,Clothing,229,Lucknow,XL,Black,Autumn,2,Yes,Express,Yes,No,12,UPI,Monthly
64,68,Male,Bag,Clothing,346,Bangalore,M,Black,Autumn,3.4,No,Standard,No,No,17,Net Banking,Weekly
65,39,Male,Shoes,Accessories,186,Mumbai,M,Black,Summer,2.4,No,Express,No,Yes,46,Cash,Weekly
66,34,Female,Bag,Footwear,54,Bangalore,XL,Black,Spring,3.7,Yes,Next Day,Yes,No,17,Cash,Weekly
67,65,Female,Watch,Footwear,211,Bangalore,L,Blue,Summer,4.7,No,Standard,Yes,Yes,41,UPI,Quarterly
68,37,Male,Shirt,Footwear,349,Delhi,S,Red,Winter,2,Yes,Express,Yes,No,33,Net Banking,Monthly
69,21,Female,Watch,Accessories,173,Delhi,S,Black,Autumn,4.8,Yes,Express,Yes,No,49,Cash,Monthly
70,42,Female,Bag,Accessories,305,Bangalore,XL,Blue,Winter,1.8,No,Next Day,No,No,29,UPI,Monthly
71,59,Male,Shirt,Accessories,224,Delhi,XL,White,Autumn,1.3,Yes,Next Day,No,Yes,15,Net Banking,Quarterly
72,27,Female,Shoes,Clothing,175,Bangalore,XL,Black,Winter,1.8,No,Standard,Yes,Yes,35,UPI,Weekly
73,42,Male,Bag,Accessories,134,Mumbai,S,White,Spring,4.3,No,Standard,Yes,Yes,4,Net Banking,Monthly
74,24,Male,Shoes,Clothing,137,Delhi,XL,Red,Autumn,3.7,No,Standard,No,No,39,UPI,Weekly
75,53,Male,Shoes,Accessories,135,Bangalore,S,Red,Spring,4.9,Yes,Standard,No,No,11,Net Banking,Quarterly
76,42,Female,Watch,Clothing,362,Mumbai,XL,Blue,Spring,3.8,No,Express,No,No,33,UPI,Quarterly
77,35,Female,Bag,Footwear,175,Mumbai,XL,Blue,Spring,2.7,Yes,Next Day,Yes,No,29,Cash,Quarterly
78,29,Female,Bag,Footwear,373,Delhi,M,Blue,Summer,4.6,Yes,Express,No,No,12,Cash,Weekly
79,47,Female,Watch,Footwear,162,Bangalore,S,Black,Spring,4.8,Yes,Next Day,Yes,No,24,Cash,Quarterly
80,52,Male,Shirt,Clothing,170,Lucknow,L,Blue,Summer,4.2,No,Express,No,Yes,25,UPI,Weekly
81,66,Male,Shoes,Clothing,462,Bangalore,S,White,Spring,3.2,No,Next Day,Yes,Yes,38,Card,Monthly
82,40,Male,Shirt,Footwear,439,Delhi,L,Black,Spring,4.3,Yes,Standard,No,No,23,Net Banking,Monthly
83,26,Female,Jeans,Footwear,206,Lucknow,M,Red,Summer,1.7,No,Next Day,No,Yes,2,Card,Monthly
84,61,Female,Shirt,Accessories,141,Delhi,M,Red,Summer,4.6,No,Standard,No,No,3,Card,Weekly
85,50,Female,Jeans,Clothing,360,Mumbai,XL,Black,Summer,5,Yes,Standard,No,No,33,Net Banking,Monthly
86,54,Male,Shirt,Accessories,44,Delhi,XL,Black,Summer,3.7,No,Next Day,Yes,Yes,44,Card,Weekly
87,23,Male,Shoes,Accessories,233,Lucknow,M,Red,Summer,1.8,No,Standard,No,No,21,Net Banking,Quarterly
88,34,Male,Watch,Footwear,303,Delhi,M,Black,Spring,1.6,No,Standard,Yes,No,4,UPI,Weekly
89,57,Male,Jeans,Accessories,341,Bangalore,XL,White,Summer,4.8,Yes,Express,Yes,No,8,Cash,Quarterly
90,61,Male,Shirt,Clothing,62,Delhi,M,Black,Winter,4.5,Yes,Standard,Yes,No,48,Card,Quarterly
91,40,Female,Shoes,Footwear,11,Delhi,S,Black,Spring,4,No,Next Day,Yes,Yes,35,Cash,Quarterly
92,59,Female,Jeans,Footwear,145,Bangalore,XL,Blue,Spring,4.8,Yes,Express,No,No,1,Net Banking,Monthly
93,61,Male,Shoes,Clothing,68,Lucknow,XL,Blue,Winter,3,No,Express,Yes,No,12,Cash,Monthly
94,38,Male,Shoes,Clothing,258,Delhi,M,Black,Autumn,4.6,No,Standard,Yes,No,36,Cash,Monthly
95,64,Female,Watch,Clothing,460,Delhi,S,Red,Summer,1.7,No,Next Day,Yes,No,31,Cash,Monthly
96,32,Male,Shirt,Footwear,150,Mumbai,S,Blue,Winter,1.7,Yes,Express,No,Yes,14,UPI,Quarterly
97,30,Male,Jeans,Accessories,232,Lucknow,L,Red,Summer,3,No,Next Day,No,No,34,Cash,Weekly
98,53,Female,Jeans,Accessories,115,Delhi,M,Black,Autumn,2.3,No,Express,Yes,No,45,Cash,Monthly
99,51,Female,Jeans,Footwear,31,Delhi,L,Black,Autumn,2.7,No,Next Day,Yes,No,45,Card,Monthly
